"13rb -- Sähkön hinta kuluttajatyypeittäin, 2008M01-2024M06"

"Kuukausi";"Hintakomponentti";"Sähkön kuluttajatyyppi";"Hinta, vuosimuutos (%)"
"2009M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-2.2
"2009M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-3.7
"2009M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-3.6
"2009M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";1.2
"2009M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";2.4
"2009M11";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-5.4
"2009M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-4.7
"2009M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-4.9
"2009M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-3.5
"2009M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";1.9
"2009M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";2.3
"2009M12";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-1.8
"2010M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-1.1
"2010M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";-3.1
"2010M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-2.2
"2010M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";3.2
"2010M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";10.8
"2010M01";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";-0.1
"2010M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";6.0
"2010M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";1.1
"2010M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";0.6
"2010M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 2 000 - 19 999 MWh";5.9
"2010M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 000 - 69 999 MWh";33.6
"2010M02";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 70 000 - 150 000 MWh";28.3
"2010M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus < 20 MWh";-6.4
"2010M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 20 - 499 MWh";0.3
"2010M03";"Sähköenergia (veroton)";"Yritys- ja yhteisöasiakas, vuosikulutus 500 - 1 999 MWh";-1.3
